店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
個室居酒屋 海鮮×炭×八丁味噌 燈 ‐tomoshibi‐ 浜松店,0535-22-9179,,静岡県,浜松市中央区,鍛冶町320-23,Q‐FACE B1,https://nbh1603.gorp.jp/,TRUE
料亭うのいち,053-463-2477,info@unoichi.com,静岡県,浜松市中央区,中島2-1-9,,,FALSE
炉端とおでん 呼炉凪来 浜松駅店,053-523-8770,,静岡県,浜松市中央区,肴町322-20,WAVE BLDG.3F,,FALSE
魚料理専門 魚魚一（とといち）,053-458-6343,,静岡県,浜松市中央区,肴町318-28,ペッシェビル3F,,FALSE
炭火焼鳥 二代目葵家,053-489-5902,,静岡県,浜松市中央区,田町323-11,,,FALSE
割烹 蒼,053-458-2111,,静岡県,浜松市中央区,肴町313-15,,,FALSE
wasabi,053-458-5585,,静岡県,浜松市中央区,田町325-38,笠井屋ビルディングアネックス3〜5F,,FALSE
千歳 うな良 浜松駅店,053-401-3008,,静岡県,浜松市中央区,千歳町77,,https://yume-saku.gorp.jp/,TRUE
もんもん,053-457-1780,,静岡県,浜松市中央区,田町315-22,,,FALSE
鉄飯居酒屋Grulli（ぐるり）浜松,053-456-8450,,静岡県,浜松市中央区,鍛冶町319-10,,https://nbe3005.gorp.jp/,TRUE
自然薯とろばた焼き とろろば,050-8888-0788,,静岡県,浜松市中央区,元城町223-1,アルスパーキング1F AP-1A,https://ncb9600.gorp.jp/,TRUE
浜松豚しゃぶ 葱豚庵,053-488-8872,,静岡県,浜松市中央区,千歳町71-11,F,https://nb7n006.gorp.jp/,TRUE
九州魂 浜松駅前店,053-482-9565,,静岡県,浜松市中央区,千歳町95-9,花柳ビル2F,https://www.oizumifoods.co.jp/,TRUE
実味実 和房 かぶと,053-523-9222,,静岡県,浜松市中央区,板屋町6732,F,https://nbr8400.gorp.jp/,TRUE
くいもの屋わん 浜松駅前店,053-450-2800,,静岡県,浜松市中央区,千歳町95-9,花柳ビル2F,https://www.oizumifoods.co.jp/,TRUE
縁だこ 浜松本店,053-488-6888,,静岡県,浜松市中央区,肴町317-13,コンドウビル,https://nc2s902.gorp.jp/,TRUE
個室居酒屋 鮮魚と焼き鳥 やっぱり酒夢来 浜松店,053-452-0755,,静岡県,浜松市中央区,肴町317-9,間渕ビル B1F,,FALSE
個室居酒屋 八十八‐yasohachi‐ 静岡店,090-9203-7569,,静岡県,静岡市駿河区,南町6-1,南町第一ビル1F,,FALSE
京城園 本店,054-286-7725,,静岡県,静岡市駿河区,馬渕2-14-13,,https://keijoenhonten.gorp.jp/,FALSE
完全個室 海鮮と産地鶏の炭火焼 うお鶏 静岡駅店,054-274-2121,,静岡県,静岡市葵区,両替町2-4-16,金龍ビル2F,https://tsunagi-shizuoka.gorp.jp/,FALSE
全席個室 楽蔵 ‐RAKUZO‐ 静岡南口駅前店,050-2018-8888,,静岡県,静岡市駿河区,南町10-1,アクロスキューブ静岡6F,https://rakuzo.dkdining.com/shizuokaminamiguchi/,TRUE
食べ放題 個室居酒屋 餃子のかっちゃん 静岡店,054-292-5280,,静岡県,静岡市葵区,紺屋町7-8,第三ヒダビル,,FALSE
個室居酒屋 和咲美‐wasabi‐ 静岡駅前店,090-6701-7093,,静岡県,静岡市葵区,黒金町55,静岡交通ビル4F,https://nc9x900.gorp.jp/,TRUE
全席個室 和食つたの,054-251-0767,,静岡県,静岡市葵区,昭和町6-2,アイワンビル3F,https://nbh5500.gorp.jp/,TRUE
牛たん・馬刺し・特撰和牛 個室肉酒場 ぶれゑめん 静岡駅前店,054-272-4130,,静岡県,静岡市葵区,紺屋町6-9,紺屋町中ビル2F,,FALSE
個室完備 海鮮と産地鶏の炭火焼 鶏菜 静岡駅前店,054-289-3088,,静岡県,静岡市葵区,黒金町55,静岡交通ビル8F,https://torisai-shizuoka.gorp.jp/,TRUE
近江牛ホルモン畜産すだく呉服町店,054-397-8740,,静岡県,静岡市葵区,呉服町2-5-211,F,https://nc2p905.gorp.jp/,TRUE
入船鮨 南店,054-282-1158,,静岡県,静岡市駿河区,南町6-6,,https://irifunezushi-minamiten.gorp.jp/,TRUE
入船鮨 両替町店,054-252-9178,,静岡県,静岡市葵区,両替町2-7-10,,https://irifunezushi-ryougaechoten.gorp.jp/,TRUE
入船鮨 葵タワー店,054-251-9178,,静岡県,静岡市葵区,紺屋町17-1,B1,,FALSE
縁だこ 静岡両替町店,054-255-8877,,静岡県,静岡市葵区,両替町2-3-5,桃太郎ビル1F,https://nc2s900.gorp.jp/,TRUE
炭焼酒場ヘチナス,070-2188-2769,,静岡県,静岡市葵区,鷹匠1-2-1,SOZOSYA鷹匠ビル2F,,FALSE
居酒屋革命 酔っ手羽 静岡両替町店,054-270-9636,,静岡県,静岡市葵区,両替町2-5-4,両替町プラザビル1F,,FALSE
山海食彩 実りの樹,054-253-2710,,静岡県,静岡市葵区,駒形通1-1-30,実りの樹1F,,FALSE
個室居酒屋 肉庵 和食小僧 静岡本店,054-266-7166,,静岡県,静岡市葵区,御幸町7-11,御幸ビル4F,https://nc78800.gorp.jp/,TRUE
