店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
九州料理 鶏炭火焼 山内農場 浜松モール街店,053-451-1388,,静岡県,浜松市中央区千歳町,73-1,コスモ第1ビル2F,https://shop.monteroza.co.jp/,True
ラーメン 来人,,,静岡県,浜松市中央区鍛治町,15,,,False
55ラーメン,080-3680-5533,,静岡県,浜松市中央区海老塚,1-3,,,False
ラーメン タケル,,,静岡県,浜松市中央区尾張町,127-13,,,False
省ちゃんラーメン,053-453-8350,,静岡県,浜松市中央区海老塚,2-15-1,,,False
らぁ麺 十六,,,静岡県,浜松市中央区早馬町,2-5,,,False
彩食酒麺 しゃもじ,053-459-3232,,静岡県,浜松市中央区神明町,218-16,,,False
好麺,053-548-6641,,静岡県,浜松市中央区砂山町,326-7,,,False
好麺 有楽街店,053-541-7897,,静岡県,浜松市中央区田町,316-28,相曽ビル1F,,False
麺屋 和,,,静岡県,浜松市中央区砂山町,361-5,,,False
自家製麺青龍,,,静岡県,浜松市中央区鍛冶町,319-23,,,False
五味八珍 静岡パルシェ店,054-204-5381,,静岡県,静岡市葵区黒金町,49,,https://gomihattin-parche.gorp.jp/,True
一蘭 静岡駅前店,050-1808-2292,,静岡県,静岡市葵区紺屋町,7－7,,https://nc0b200.gorp.jp/,True
ひので（青葉おでん街）,090-7469-0100,,静岡県,静岡市葵区常磐町,2-3-6,,https://nbw4900.gorp.jp/,True
西安健菜 キッチン 新静岡セノバ店,054-266-3095,,静岡県,静岡市葵区鷹匠,1-1-1,新静岡セノバ5F,https://gam6802.gorp.jp/,True
【焼ki鳥×栃木もの】 kibun joujou,070-7569-8087,,静岡県,静岡市葵区両替町,2-2-4,辻本ビル2F,https://nc49401.gorp.jp/,True
しずおか魚市場直営店 JR静岡駅アスティ東館,054-291-6171,,静岡県,静岡市葵区黒金町,54-3,,https://nc4j100.gorp.jp/,True
やきとり兄ちゃん,090-9229-0553,,静岡県,静岡市駿河区南町,6-11,,https://nbns400.gorp.jp/,True
やきとり元気,054-204-0228,,静岡県,静岡市葵区黒金町,28-1,静岡ゴールデン横丁,https://nc9a900.gorp.jp/,True
食べ放題 個室居酒屋 餃子のかっちゃん 静岡店,054-292-5280,,静岡県,静岡市葵区紺屋町,7-8,第三ヒダビル,https://ncd5300.gorp.jp/,True
豊後高田どり酒場 静岡北口駅前店,054-653-8188,,静岡県,静岡市葵区御幸町,8-3,パレスV2F,https://shop.monteroza.co.jp/,True
目利きの銀次 静岡北口駅前店,054-653-6288,,静岡県,静岡市葵区御幸町,8-3,パレスV1F,https://shop.monteroza.co.jp/,True
焼肉ほるもん元気,054-204-0350,,静岡県,静岡市葵区黒金町,28-1,静岡ゴールデン横丁,https://nc9a901.gorp.jp/,True
炭焼酒場ヘチナス,070-2188-2769,,静岡県,静岡市葵区鷹匠,1-2-1,SOZOSYA鷹匠ビル2F,https://ncc5300.gorp.jp/,True
大衆酒場×個室居酒屋 鶏と魚と餃子 いっせん（一千）静岡駅店,054-205-9500,,静岡県,静岡市葵区両替町,2-5-13,両替町リッツビル1F,https://nazs028.gorp.jp/,True
ラーメン もちづき,054-251-8777,,静岡県,静岡市葵区両替町,2-3-1,濱村ビレッジ1F,,False
ラーメン 鈴木商店（仮）,054-297-5779,,静岡県,静岡市葵区相生町,7-18,,,False
繁ちゃんラーメン＆なごみ,054-221-9514,,静岡県,静岡市葵区両替町,2-2-11,,,False
横浜家系ラーメン 鶴田家,054-251-9697,,静岡県,静岡市葵区駿府町,1-17,,,False
ラーメン 暖暮 静岡常磐町店,054-270-6556,,静岡県,静岡市葵区常磐町,2-2-1,ライブネット青葉ビル1F,,False
熟成醤油ラーメン 十二分屋 静岡駅前店,054-292-7363,,静岡県,静岡市葵区駿府町,1-15,叶家ビル1F,,False
